,mean_f1,std_f1,median_f1
Paper_Optimized,0.6199689993180021,0.05432937789512515,0.6191307768418897
XGB_NoR_NoS_L-PCA,0.60563725630642,0.05276942307469082,0.6163637886281168
RF_SMOTE_NoS_L-PCA,0.6113720715545974,0.04823916533681768,0.6146009511536769
XGB_ROS_RS_NoDR,0.6140645895624769,0.05043015276187264,0.6137610912609
XGB_NoR_RS_NoDR,0.613835822738554,0.05649613952015206,0.6117668931348867
RF_ROS_RS_NoDR,0.614804627828724,0.04484829032377783,0.6044487902291876
RF_ROS_SS_NoDR,0.6148659924225051,0.045232453364337136,0.6044487902291876
