,accuracy,f1_macro,balanced_accuracy,mcc
RF_ROS_RS_NoDR,0.7542087542087542,0.7106240383363275,0.6983126863373865,0.6415816039417418
RF_ROS_SS_NoDR,0.7545631756158072,0.71050003654012,0.6979770314945138,0.6420665851698459
RF_SMOTE_NoS_L-PCA,0.7428672691830587,0.6869359555519073,0.68277632481595,0.6262331396765496
XGB_NoR_RS_NoDR,0.7396774765195818,0.6613878277916232,0.645076453578716,0.6185299564721419
XGB_NoR_NoS_L-PCA,0.745879851143009,0.6572035035796336,0.6419826826699241,0.6271263090479584
XGB_ROS_RS_NoDR,0.7421584263689527,0.7008808765144304,0.7063122615602977,0.6275474924576724
Paper_Optimized,0.7483608009923799,0.7229892523464336,0.7312363103022728,0.6365186571873527
